ID,X12,X13,X14,X19,X20,X22,X27,X31,X35,X37,X43,X45,X46,X49,X50,X51,X58,X64,X68,X70,X71,X80,X81,X84,X85,X96,X98,X100,X101,X103,X114,X115,X116,X118,X119,X127,X129,X132,X133,X137,X139,X142,X144,X150,X151,X154,X155,X156,X157,X158,X161,X163,X164,X168,X171,X177,X178,X180,X181,X182,X186,X187,X189,X191,X194,X201,X202,X208,X209,X215,X218,X219,X220,X223,X224,X225,X234,X238,X241,X244,X246,X247,X250,X251,X256,X261,X265,X273,X275,X283,X285,X286,X294,X300,X304,X311,X313,X314,X316,X321,X324,X327,X329,X331,X334,X336,X337,X343,X348,X350,X351,X352,X354,X355,X356,X358,X360,X362,X363,X367,X368,X374,X375,X376,X377,parts,X0_ak,X0_ay,X0_f,X0_o,X0_t,X0_x,X0_y,X0_z,X1_aa,X1_b,X1_l,X1_r,X1_s,X1_v,X2_ae,X2_ai,X2_ak,X2_as,X2_m,X3_a,X3_c,X3_d,X3_f,X3_g,X5_d,X5_n,X5_q,X5_r,X5_s,X5_v,X5_w,X6_d,X6_g,X6_i,X6_j,X6_l,X8_e,X8_f,X8_i,X8_j,X8_n,X8_r,X8_s,pca_1,ica_1,pca_2,ica_2,pca_3,ica_3,pca_4,ica_4,pca_5,ica_5,pca_6,ica_6,pca_7,ica_7,pca_8,ica_8,pca_9,ica_9,pca_10,ica_10,pca_11,ica_11,pca_12,ica_12
0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.7738339934362717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8026291172008689,-0.004967907718928907,0.663298210443521,-0.0012703137986233278,-1.5127680192442423,-0.012137554286323163,-0.7282659456476178,0.007460521945898093,1.8782332321446125,0.0066470443933726595,-1.1546493762916654,0.007549288542804696,-0.6195639039209629,0.008628310841429806,-1.1428246896791856,0.010195456381031911,1.4361464109168978,0.049039121427281736,-0.7870636851285516,-0.005216331448050136,0.3447263279385805,0.005650420262466379,1.1159571176620113,0.02631160504447076
6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.7738339934362717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1788408252914327,0.006808515936425796,-0.8397731782352711,0.012318070337122412,-1.3151323866382165,-0.0025516015028423985,0.5651596896215517,0.015583888314136934,0.13630103342641495,-0.013631480535107593,-1.2255001658311577,0.026206928898880547,-0.49503097572314064,-0.0016486351493909287,-0.3591024007492716,0.009533356213080305,-0.35780531665900345,-0.005784080714605163,-0.31034414923219317,-0.0036531932127496633,-0.27988675468455276,-0.014706412615398947,-1.223696631260992,-0.00426357834800083
7,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.9241153930357462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205225405188552,-0.009880479524292307,1.5225603398600478,0.00446907332351577,-1.852472748958229,-0.004667101763756563,-0.9117673883108434,0.004579717608184753,2.1352608696821824,0.011731863727911832,0.29228569599705717,-0.016518669217149895,2.429536626351319,0.0016250176442842532,0.3886531401846293,0.0059496169553248535,-0.7108650058897673,0.013514693586298466,-0.28256107566697697,-0.05587316707969261,1.5822799310102127,0.01994495744934127,0.2729170625504837,-0.01885502986913084
9,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5109038096456416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3443822916529991,-0.01020542164367655,-0.23069589181584146,0.0038576281840265567,-1.69759358576788,-0.007471422573072235,-1.634260839492825,0.001559886139906151,1.6709443232316634,0.011312244819994204,-0.4811043371885029,-4.378659769729399e-05,2.1869048904088655,-0.004119613475867729,0.07586514029495303,0.003820985499829713,-1.223659383415274,0.00639437763468096,-0.6401469506982542,-0.06012198991867497,1.3899897421364575,-0.0014032669548471957,-0.12551203206229464,-0.014020467816252198
13,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0029913115871237194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21732460129956177,0.005327362548685632,-0.6744123500967889,0.0029880241193840397,-1.5626418750508315,-0.0015812350792668542,-1.8642776031858912,-1.4092251477386515e-06,1.4536164571430683,0.005106171033012297,-0.4996508913793165,0.0012891664210592795,2.1664841867820406,-0.006021490510214052,0.063460243110413,0.005562626969470218,-0.9512519724081473,0.0018582630417094213,-0.7221392696585132,-0.07494318179958136,2.3607635273887695,-0.0001310675363810195,-0.681700211138264,-0.0052987614916295165
18,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-0.6453602131280803,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.971296270465571,-0.003595087190837699,0.7588470780365855,-0.010310679341771455,1.4333783458250586,-0.013475727581521426,-0.8213459418439807,-0.015256674267509545,-1.2255852481332457,-0.01580980658726065,-0.6947158769812686,0.015236367569054337,-0.6221399144608758,0.014269901504708055,-1.0403277555912769,-0.01387206955604311,-0.6858127586168575,-0.008813686293771052,-0.7455669098329548,-0.004527674658149567,0.1990943876746964,-0.013577229919435142,-0.15621011473582114,0.015086656691736608
24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,-0.6453602131280803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0328278122216357,-0.0023929555387363385,-2.3877354921987797,0.007953732862541417,-0.5332602438808942,-0.006104675255479883,-0.348409812503863,-0.013387131068836731,-0.14164178956747667,0.020452286165642968,1.3948108751343025,-0.0156761996737458,0.33068407442738545,-0.027658030320903186,1.0457347352848732,-0.009371159647350712,-0.46955447856555144,-0.0028344619691076183,0.3101277532713928,0.005737582179794877,-0.289974779543618,-0.0035070413328799595,0.7649583168138803,-0.007147540001045782
25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.5109038096456416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.672603403492024,0.010792755598168714,-0.5924497261160089,-0.02591885310290011,-0.2055778255699391,-0.01722356989718946,-0.07525079526872185,-0.017424363345856453,-1.060421288666028,-0.01554286379047446,1.4783794542827158,-0.0036368169708520335,-1.210782385949136,-0.01659713959706182,-0.3062451369315265,0.01864432012381304,-0.6306024788162529,-0.008159466618928284,-0.9788683636571666,0.0012436066872789947,0.5769582478187295,0.0025931978517754065,0.03839663745937024,-0.005830756674879089
27,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1.5386940521111723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5588353681817364,0.012111104140897635,1.2880508790495553,-0.00762571078008141,-0.03606280453196127,0.01692673107047272,1.483600804467326,0.016208610542874927,0.21675333035898423,-0.016227112262810345,0.30610739313718116,-0.0008964255154527101,0.09436690480877702,0.004246751845474259,-0.014597294433536832,0.020032036583521408,0.25340925140638854,-0.012136202913927125,0.4248206338072692,-0.0048406911344967265,0.6153522388561358,0.02129594525096082,-1.017663323620549,-0.013758706890223973
30,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.6393775899538329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.178784151510372,-0.003972268072098201,2.3412999799058993,0.0070917535515265,1.3568151264327302,0.014649181499730674,-0.9999181985152972,-0.013435315723617515,-0.29436892411527216,-0.012339497712592995,-0.07504300345845569,-0.008438637626383189,-0.1944971150518804,0.017807521540914854,0.6533108640327738,-0.016060426469913475,-0.2360348017698486,-0.0014584346542008016,0.6553246295720929,0.002732146016130105,-0.17667125417646143,-0.004689749460885933,-0.26223868389451943,-0.006486914323888719
